"","Naive_Control_Rep_1","Naive_Control_Rep_2","Naive_Control_Rep_3","Naive_DEX_Rep_1","Naive_DEX_Rep_2","Naive_DEX_Rep_3"
"ENSMUSG00000001642.18",2144.53452689542,1884.57508238831,1960.55422299736,2141.61383325072,2154.59359778699,1977.38162153121
"ENSMUSG00000001663.10",0,0,3.61725871401727,0.946778882957876,6.61730220450549,5.19338574269525
"ENSMUSG00000001665.11",3.92197243397114,5.84493822628187,1.80862935700864,1.89355776591575,1.3234604409011,0
"ENSMUSG00000001666.8",137.26903518899,101.868923372341,135.647201775648,124.97481255044,109.847216594791,105.166061289579
"ENSMUSG00000001674.11",1471.52405722597,1389.42531550472,1355.56770307797,1349.15990821497,1424.04343440958,1302.24147498083
"ENSMUSG00000001687.15",1226.00858285938,910.975372124788,960.382188571586,1230.81254784524,1241.40589356523,1187.98698864154
"ENSMUSG00000001700.10",3579.97643772886,5449.98740042025,4375.9787292824,4166.77386389761,3701.71885320037,4593.54968941395
"ENSMUSG00000001707.8",606.336938291939,521.034493314269,430.453786968056,470.549104830064,599.527579728198,542.708810111653
"ENSMUSG00000001729.14",2311.61055258259,1881.23511768758,2116.09634770011,2147.29450654846,2198.26779233673,2125.39311519803
"ENSMUSG00000001741.12",2696.74824559856,2392.24971689965,2706.61383276343,3107.32829386775,2972.49215026387,2794.04152957004
"ENSMUSG00000001750.16",570.254791899404,993.639498467918,867.237776685642,758.369885249259,870.836970112923,863.400379723085
"ENSMUSG00000001751.9",343.564785215872,264.69220253305,311.084249405486,250.896403983837,269.985929943824,266.161019313131
"ENSMUSG00000001755.12",445.536068499122,434.195411095225,464.81774475122,358.829196641035,356.010858602396,393.398970009165
"ENSMUSG00000001761.7",70.5955038114806,30.8946734817756,67.8236008878239,96.5714460617034,108.52375615389,89.585904061493
"ENSMUSG00000001763.14",3.13757794717691,1.66998235036625,23.5121816411123,22.722693190989,15.8815252908132,3.89503930702143
"ENSMUSG00000001767.5",1098.93667599871,860.040910438618,1030.01441881642,1161.69768938931,1095.82524506611,981.549905369401
"ENSMUSG00000001768.16",2.35318346038269,0,4.52157339252159,5.68067329774726,15.8815252908132,11.6851179210643
"ENSMUSG00000001774.8",1660.56312854338,1410.3000948843,1347.42887097143,2286.47100234327,2063.27482736481,2314.95169480641
"ENSMUSG00000001783.3",2767.34374941004,2327.12040523537,3004.13336199135,2982.35348131731,2689.27161591103,2747.30105788578
"ENSMUSG00000001785.13",847.146045737767,663.817984270584,855.481685865085,863.462341257583,812.604710713275,807.571482989111
